timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-09 15:39:19.335105,15:39,06-09-26,8.192,115250.0,118099.0,31.7,52.8,67.3,0.75,0.72,752.3
2026-06-09 15:39:24.623440,15:39,06-09-26,8.146,115744.0,117883.0,31.7,52.8,67.5,0.747,0.718,751.9
2026-06-09 15:39:29.760677,15:39,06-09-26,8.406,115739.0,118012.0,31.6,53.0,67.2,0.746,0.721,751.9
2026-06-09 15:39:34.916089,15:39,06-09-26,8.692,115563.0,118330.0,31.4,52.7,67.4,0.753,0.716,752.2
2026-06-09 15:39:40.071140,15:39,06-09-26,8.581,116126.0,117983.0,31.6,52.9,67.1,0.756,0.716,751.1
2026-06-09 15:39:45.290911,15:39,06-09-26,8.523,115377.0,117915.0,31.6,53.1,67.5,0.753,0.719,751.9
2026-06-09 15:39:50.511401,15:39,06-09-26,8.196,116004.0,117516.0,31.4,52.7,67.3,0.75,0.718,752.5
2026-06-09 15:39:55.634717,15:39,06-09-26,8.244,115605.0,117862.0,31.4,53.0,67.3,0.747,0.716,751.5
2026-06-09 15:40:00.837349,15:40,06-09-26,8.917,115431.0,117944.0,31.5,52.5,67.2,0.748,0.714,751.7
2026-06-09 15:40:06.057465,15:40,06-09-26,8.704,115660.0,117523.0,31.6,52.7,67.3,0.761,0.723,752.0
