timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-01 23:54:46.622402,23:54,06-01-26,6.501,115740.0,118222.0,31.7,52.5,67.3,0.756,0.703,752.4
2026-06-01 23:54:51.807023,23:54,06-01-26,6.214,115510.0,117479.0,31.8,52.6,67.4,0.747,0.718,752.0
2026-06-01 23:54:57.154182,23:54,06-01-26,5.717,115507.0,117859.0,31.6,52.7,67.1,0.747,0.712,751.2
2026-06-01 23:55:02.159928,23:55,06-01-26,6.215,115845.0,117665.0,31.9,52.9,67.4,0.752,0.718,752.2
2026-06-01 23:55:07.382417,23:55,06-01-26,5.737,115687.0,117523.0,31.5,52.8,67.4,0.75,0.719,751.7
2026-06-01 23:55:12.545735,23:55,06-01-26,5.853,116051.0,117867.0,31.7,52.6,67.4,0.75,0.712,751.8
