timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-09 00:05:21.545597,00:05,06-09-26,7.779,115713.0,117686.0,31.6,53.0,67.3,0.74,0.717,751.7
2026-06-09 00:05:26.875416,00:05,06-09-26,7.914,115685.0,118052.0,31.9,53.0,67.1,0.75,0.717,751.5
2026-06-09 00:05:31.949785,00:05,06-09-26,8.68,115997.0,117361.0,31.6,53.0,67.3,0.752,0.723,751.8
2026-06-09 00:05:37.118894,00:05,06-09-26,8.199,115777.0,118314.0,31.5,52.8,67.6,0.745,0.716,752.0
2026-06-09 00:05:42.338890,00:05,06-09-26,8.474,115557.0,117967.0,31.5,52.8,67.3,0.745,0.716,751.5
2026-06-09 00:05:47.560749,00:05,06-09-26,8.249,115000.0,118283.0,31.7,52.8,67.5,0.746,0.719,752.1
2026-06-09 00:05:52.647402,00:05,06-09-26,8.157,116141.0,117762.0,31.6,52.9,67.2,0.747,0.72,751.9
2026-06-09 00:05:57.917602,00:05,06-09-26,8.281,115624.0,117722.0,31.8,52.9,67.4,0.748,0.716,751.9
2026-06-09 00:06:03.139083,00:06,06-09-26,8.463,115378.0,117824.0,31.6,52.9,67.3,0.751,0.717,751.4
2026-06-09 00:06:08.277130,00:06,06-09-26,9.15,115144.0,118073.0,31.7,52.8,67.4,0.746,0.725,752.1
2026-06-09 00:06:13.405463,00:06,06-09-26,8.666,115666.0,117874.0,31.6,53.2,67.4,0.745,0.714,751.9
2026-06-09 00:06:18.584608,00:06,06-09-26,8.68,115770.0,118054.0,31.4,52.5,67.4,0.763,0.719,751.6
2026-06-09 00:06:23.772816,00:06,06-09-26,9.821,115603.0,117534.0,31.9,52.9,67.5,0.746,0.72,751.6
2026-06-09 00:06:29.124816,00:06,06-09-26,9.147,115773.0,117016.0,31.8,53.1,67.5,0.756,0.71,751.0
2026-06-09 00:06:34.248627,00:06,06-09-26,8.934,115835.0,118346.0,31.7,52.5,67.9,0.744,0.721,751.7
2026-06-09 00:06:39.484686,00:06,06-09-26,8.718,115275.0,117921.0,31.7,53.1,67.0,0.75,0.715,751.5
2026-06-09 00:06:44.658229,00:06,06-09-26,9.011,115816.0,118399.0,31.5,52.3,67.1,0.751,0.72,751.7
2026-06-09 00:06:49.761112,00:06,06-09-26,8.967,115157.0,118203.0,31.4,52.7,67.3,0.754,0.716,752.0
2026-06-09 00:06:54.882406,00:06,06-09-26,8.643,115229.0,118194.0,31.8,53.0,67.4,0.749,0.72,751.4
2026-06-09 00:07:00.164532,00:06,06-09-26,9.169,115202.0,118188.0,31.8,52.7,67.5,0.749,0.701,752.0
