timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-01 23:53:58.752988,23:53,06-01-26,7.246,115600.0,118083.0,31.4,52.8,67.1,0.743,0.701,752.3
2026-06-01 23:54:04.012407,23:54,06-01-26,6.803,115860.0,117936.0,31.6,53.0,67.2,0.761,0.712,751.7
2026-06-01 23:54:09.149067,23:54,06-01-26,6.673,115674.0,117820.0,31.6,52.9,67.3,0.748,0.72,752.0
2026-06-01 23:54:14.365107,23:54,06-01-26,6.828,115513.0,118612.0,31.7,52.5,67.0,0.756,0.723,751.7
2026-06-01 23:54:19.571597,23:54,06-01-26,6.572,115919.0,118026.0,31.8,53.1,67.1,0.744,0.72,751.8
