timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-01 23:36:05.448019,23:36,06-01-26,8.883,115559.0,117820.0,31.6,53.0,67.7,0.748,0.723,751.8
2026-06-01 23:36:10.682629,23:36,06-01-26,8.899,115925.0,117962.0,31.4,52.9,67.3,0.75,0.709,751.4
2026-06-01 23:36:15.757263,23:36,06-01-26,9.003,115985.0,117600.0,31.3,52.7,67.5,0.748,0.735,752.2
2026-06-01 23:36:21.035226,23:36,06-01-26,9.024,115713.0,118111.0,31.3,52.9,67.4,0.75,0.717,751.5
2026-06-01 23:36:26.102311,23:36,06-01-26,8.811,115534.0,117996.0,31.2,52.6,67.1,0.757,0.721,751.7
2026-06-01 23:36:31.434972,23:36,06-01-26,8.695,115878.0,118156.0,31.8,52.6,67.2,0.748,0.714,751.8
2026-06-01 23:36:36.588969,23:36,06-01-26,9.209,115536.0,118068.0,31.7,52.6,67.4,0.748,0.72,752.1
2026-06-01 23:36:41.622891,23:36,06-01-26,9.526,115913.0,117961.0,31.7,52.9,67.2,0.757,0.715,751.7
