timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-09 15:57:40.544415,15:57,06-09-26,8.401,115503.0,117759.0,31.6,52.9,67.3,0.751,0.713,751.6
2026-06-09 15:57:45.731969,15:57,06-09-26,8.736,115989.0,117738.0,31.8,52.8,67.1,0.757,0.718,751.3
2026-06-09 15:57:50.884416,15:57,06-09-26,8.998,115669.0,117328.0,31.8,52.9,67.6,0.748,0.715,751.9
2026-06-09 15:57:54.317962,15:57,06-09-26,8.791,115622.0,117875.0,31.7,52.6,67.3,0.746,0.712,751.7
2026-06-09 15:57:59.558369,15:57,06-09-26,9.101,116032.0,117538.0,31.7,52.7,67.5,0.749,0.72,751.4
